"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"33","Although you should always take in your lunch, if you forget here's a cheap and yummy looking alternative thanks… https://t.co/zqMqGgLw9G",FALSE,0,NA,2019-03-19 12:13:35,TRUE,NA,"1107978420816879619",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BrizzleBargains",0,FALSE,FALSE,NA,NA
"34","RT @BlueBearWood: (advert) Kids in the kitchen. #loverora made yummy rainbow pancake stack with a little help frmo @NumNomsUK @officialnumn…",FALSE,0,NA,2019-03-19 12:13:28,FALSE,NA,"1107978389699379200",NA,"<a href=""http://www.testadigrancazzochenonseialtro.co.it"" rel=""nofollow"">leballesonogiratissime</a>","Igor_Mizzi",7,TRUE,FALSE,NA,NA
"35","@gtbank Huh yummy",FALSE,0,"gtbank",2019-03-19 12:13:22,FALSE,"1107978093849923584","1107978368266452992","63977305","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ademola197",0,FALSE,FALSE,NA,NA
"36","RT @bakingist: How many cakes do you think there are?<U+0001F914>
And which one you would choose?<U+0001F60D><U+263A>

#cake #dessert #cakeart #cakeoftheday #baking #fo…",FALSE,0,NA,2019-03-19 12:13:20,FALSE,NA,"1107978359085121536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nouvellemeat",3,TRUE,FALSE,NA,NA
"37","Me during the first bite of waffle: Lets eat this yummy waffle! Take a big girl bite sweetie!! You’re doing a great… https://t.co/AVK9pXqbMB",FALSE,0,NA,2019-03-19 12:13:14,TRUE,NA,"1107978333814427649",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rory_lorelai",0,FALSE,FALSE,NA,NA
"38","RT @vinpatcakes: Our creamy-crunch chin chin is always available
.
.
.
600 hundred naira only
To place your order click on the link in my b…",FALSE,0,NA,2019-03-19 12:13:06,FALSE,NA,"1107978300696260608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","graceendowed2k",10,TRUE,FALSE,NA,NA
"39","RT @mehulved: Today's espresso is made from some yummy coffee from Indonesia. https://t.co/s8zhQudoEu",FALSE,0,NA,2019-03-19 12:12:16,FALSE,NA,"1107978091446575104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Stethoskaapi",1,TRUE,FALSE,NA,NA
"40","RT @GY_Town_Centre: What is Great Yarmouth famous for?? Its market chips of course! What's your favourite topping? Plain old salt and vineg…",FALSE,0,NA,2019-03-19 12:12:15,FALSE,NA,"1107978084689547264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","soGreatYarmouth",3,TRUE,FALSE,NA,NA
"41","Yummy treats only at #VegPlatter <U+0001F601><U+0001F372><U+0001F354>
Order food online on Veg Platter and  get amazing deals on food, Hurry, place… https://t.co/FIgkprfBmm",FALSE,0,NA,2019-03-19 12:12:08,TRUE,NA,"1107978056134729730",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","VegPlatter",0,FALSE,FALSE,NA,NA
"42","Since the weather isn't looking great, have yourself an Indigo buffet lunch as a pick me up! https://t.co/yaetXIXup6",FALSE,1,NA,2019-03-19 12:11:57,FALSE,NA,"1107978010383257600",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Yummy_Indigo",0,FALSE,FALSE,NA,NA
"43","$5 Shipping when you order a 3-pack of Onionz. <U+0001F64C><U+0001F601><U+2764><U+FE0F>.
.
Who likes a really Yummy Caesar Salad!! I’ll bet you do. Her… https://t.co/qKtfMz5qgA",FALSE,0,NA,2019-03-19 12:11:56,TRUE,NA,"1107978007124299777",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","screaminonionz",0,FALSE,FALSE,"-73.6878","41.7847"
"44","RT @SixSistersStuff: This yummy soup has all the yummy flavor of your favorite lasagna, without the layering—it’s so quick and easy! https:…",FALSE,0,NA,2019-03-19 12:11:49,FALSE,NA,"1107977975839055878",NA,"<a href=""https://twitter.com/vehement_soup"" rel=""nofollow"">vehement_soup</a>","vehement_soup",1,TRUE,FALSE,NA,NA
"45","@arimelber Have you try the coleslaw from Dallas BBQ restaurant...Yummy <U+0001F60B>",FALSE,0,"AriMelber",2019-03-19 12:11:46,FALSE,NA,"1107977963029651456","15441965","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarcJayRokzNYC",0,FALSE,FALSE,NA,NA
"46","@DearPJM1 @dawnjetplane ...#yoongi is like a durian...all hard covered with thorn outside but yummy squishy &amp; sweet in the inside @BTS_twt",FALSE,1,"DearPJM1",2019-03-19 12:11:39,FALSE,"1107472488877969408","1107977935313469440","1073002981421912068","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Zaida771",0,FALSE,FALSE,NA,NA
"47","My dear happy birthday <U+0001F499><U+0001F499><U+0001F499> @yummy_pearl4",FALSE,0,NA,2019-03-19 12:11:07,FALSE,NA,"1107977801360162817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TrisDaddyThaMac",0,FALSE,FALSE,NA,NA
"48","@tashallaaa Yummy!!",FALSE,0,"tashallaaa",2019-03-19 12:11:06,FALSE,"1107964274054295552","1107977794468737024","2368997618","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wirdoiscool",0,FALSE,FALSE,NA,NA
