"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"709","RT @RossinisChatham: Now you know! <U+0001F951> #HealthyFood #foodfacts https://t.co/yG0vc4Khc2",FALSE,0,NA,2019-03-18 16:31:25,FALSE,NA,"1107680918922158081",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LemonLennar",23,TRUE,FALSE,NA,NA
"710","RT @RossinisChatham: Now you know! <U+0001F951> #HealthyFood #foodfacts https://t.co/yG0vc4Khc2",FALSE,0,NA,2019-03-18 16:30:10,FALSE,NA,"1107680604425019392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PeiferRealty",23,TRUE,FALSE,NA,NA
"711","Quick and Easy Pesto Pasta Salad  #healthyfood https://t.co/kq0SwwLodO https://t.co/CGl7PO3aC7",FALSE,0,NA,2019-03-18 16:30:05,FALSE,NA,"1107680583629635585",NA,"<a href=""http://blog.imwithjoe.biz/"" rel=""nofollow"">TMAffiliate_Bizz</a>","_GetUFit_",0,FALSE,FALSE,NA,NA
"712","RT @RossinisChatham: Now you know! <U+0001F951> #HealthyFood #foodfacts https://t.co/yG0vc4Khc2",FALSE,0,NA,2019-03-18 16:27:27,FALSE,NA,"1107679922112348160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChesoliProtus",23,TRUE,FALSE,NA,NA
"713","RT @RossinisChatham: Now you know! <U+0001F951> #HealthyFood #foodfacts https://t.co/yG0vc4Khc2",FALSE,0,NA,2019-03-18 16:27:21,FALSE,NA,"1107679897248546818",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CKHomes4Sale",23,TRUE,FALSE,NA,NA
"714","RT @BWP_Accra: Who's hungry <U+0001F60B>? Come through, let's have lunch <U+0001F60E>
.
.
.
#bestwesternaccra #ghana #luxuryhotel #lunch #food #foodporn #healthy…",FALSE,0,NA,2019-03-18 16:26:21,FALSE,NA,"1107679645573529601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JustTheLawTV",2,TRUE,FALSE,NA,NA
"715","RT @RossinisChatham: Now you know! <U+0001F951> #HealthyFood #foodfacts https://t.co/yG0vc4Khc2",FALSE,0,NA,2019-03-18 16:26:06,FALSE,NA,"1107679580595326977",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CKAffordable",23,TRUE,FALSE,NA,NA
"716","RT @BWP_Accra: Who's hungry <U+0001F60B>? Come through, let's have lunch <U+0001F60E>
.
.
.
#bestwesternaccra #ghana #luxuryhotel #lunch #food #foodporn #healthy…",FALSE,0,NA,2019-03-18 16:25:34,FALSE,NA,"1107679446356627456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rundchangeinyou",2,TRUE,FALSE,NA,NA
"717","We have some classic dishes for your Monday night enjoyment!!!
#oodleskitchen#middlesbrough# thaifood#healthyfood#s… https://t.co/cGKgszNQbJ",FALSE,0,NA,2019-03-18 16:25:07,TRUE,NA,"1107679333601169409",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","OodlesNoodleBar",0,FALSE,FALSE,NA,NA
"718","Meatless Monday! My favorite snack is carrots and home-made hummus! What’s yours?
#yum #healthyfood #health… https://t.co/JJftWZ0AZH",FALSE,1,NA,2019-03-18 16:23:32,TRUE,NA,"1107678936593387520",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","HGwellnesswarr1",1,FALSE,FALSE,NA,NA
"719","When you come on from grocery shopping and have all your favs! All this deliciousness on a bed of spinach and kale… https://t.co/ZiCwJLXbap",FALSE,0,NA,2019-03-18 16:22:34,TRUE,NA,"1107678693521010688",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","CassHolmes7",0,FALSE,FALSE,"-8.14739322","53.69384481"
"720","This fully cooked pork rib shaped patty is super tender and covered in tangy BBQ sauce, we have included mashed pot… https://t.co/rGfDxEvCFZ",FALSE,0,NA,2019-03-18 16:20:32,TRUE,NA,"1107678181580918784",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HomestyleDirect",0,FALSE,FALSE,NA,NA
"721","Here is a #healthy #recipe for PUMPKIN YOGURT from my friends at @GuidingStars . Check out their site for more heal… https://t.co/CjS3pYYTqj",FALSE,0,NA,2019-03-18 16:20:13,TRUE,NA,"1107678101222248448",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","smileymoet",0,FALSE,FALSE,NA,NA
"722","Here is a #healthy #recipe for PUMPKIN YOGURT from my friends at #GuidingStars. Check out their site for more healt… https://t.co/Fiheoz4vXS",FALSE,0,NA,2019-03-18 16:20:05,TRUE,NA,"1107678066749394949",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","techarazi",0,FALSE,FALSE,NA,NA
"723","RT @arigetsfit: A Glowing woman can help other women glow and still be lit. <U+0001F481><U+0001F3FB><U+200D><U+2640><U+FE0F><U+0001F525>
#businessopportunity 
#worldwide 
#vip
 
#healthyfood #f…",FALSE,0,NA,2019-03-18 16:20:01,FALSE,NA,"1107678048890118146",NA,"<a href=""http://pro-actors.com"" rel=""nofollow"">Holly_Bot</a>","hollywhoh",1,TRUE,FALSE,NA,NA
"724","RT @RossinisChatham: Now you know! <U+0001F951> #HealthyFood #foodfacts https://t.co/yG0vc4Khc2",FALSE,0,NA,2019-03-18 16:19:41,FALSE,NA,"1107677966958555136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AndreaOkopnyCK",23,TRUE,FALSE,NA,NA
"725","RT @Diet_Health_en: https://t.co/71qfdg2lDp Tomatoes are a great source of the #antioxidant lycopene, which is linked to many #health benef…",FALSE,0,NA,2019-03-18 16:18:22,FALSE,NA,"1107677635218305024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","M_M_Nutrition",3,TRUE,FALSE,NA,NA
